from,to,length,capacity,volume,EstimatedTT,Speed,CO2
26759727,26759737,271.658,700,732.204318578459,19.893950793201732,13.655306722324479,42.05794104961367
26759730,26759727,16.887,700,863.0292063722077,1.256005726841436,13.445002390607646,3.0977477958892736
26759665,26759668,47.624,700,443.0250683413594,3.431415285872352,13.878821428602684,4.437923365238103
26759727,26759728,12.576000000000002,700,1743.2999925909455,1.062949195014666,11.831233382538556,4.909322099315717
26759728,26759869,449.696,700,1042.6759828405957,57.759350660151625,7.785683094776322,136.23863940903217
26759739,26759728,268.734,700,408.9895463739391,19.35904231563479,13.88157511195502,23.117105410108362
262091049,26759668,831.031,700,1162.384256720433,61.89108251722091,13.427314020057242,205.41528786384058
26759728,26759729,16.701,700,1109.6135561242895,1.751679049010202,9.534280842964362,4.68075622862833
26960758,29271261,9.577,700,1288.700594886548,0.802726472876502,11.930589464281196,2.7529696072895846
26960758,2884508640,601.451,700,855.0703051530263,44.68215444491598,13.460653530963171,109.2687551656801
35107206,35107210,51.68999999999999,700,972.7572043108916,3.9199997337931682,13.186225385271245,10.76154394058221
29122661,35107206,53.83899999999999,700,460.2872388988758,3.9288306938532838,13.703568363032783,5.233794177065846
29271261,29273080,17.087,700,590.9961710217026,1.239195945471426,13.788779782925783,2.128488957003746
29271261,29219438,461.975,700,1751.719040149662,51.900995836596664,8.901081618057319,213.8552767624408
29273080,26960758,16.491,700,720.9095551182758,1.283974157375748,12.843716444967358,2.5698426150685267
29273065,26960758,529.365,700,1422.8613449212985,41.05593797565005,12.893749993337435,162.57002049794917
29276217,26960762,855.2449999999999,700,1277.3764570413452,71.33444778094368,11.989228578965331,243.13825308907698
29215046,26960762,857.487,700,904.9282804754952,64.2029792352627,13.355875540570487,165.31663393726816
2884508640,29270503,84.061,700,318.0864029911341,6.0710593032866225,13.846183310133839,5.628426566001427
2884508640,29271693,1730.916,900,2223.4775478128604,145.6161114117882,11.886843998361813,859.9361919966408
29215046,287447547,24.401,700,1271.439579547199,23.888691821056078,1.0214456355660446,29.00414047071792
287447524,29215046,26.794,700,574.3712142378278,2.941294537245108,9.109594316622214,4.004228747749258
3243910627,29276217,44.246,700,1120.2212618920482,3.2801780788963257,13.488901802211712,10.523481394982483
29276213,29276217,77.932,700,854.309474869541,6.511603187144622,11.968174005728022,14.829403551089593
358082698,26953063,139.386,700,955.1090912021796,20.91991447775761,6.662837945546929,43.51196499500306
1679931219,2453778078,53.60799999999999,700,955.1090912021796,32.238732489475844,1.6628445307984745,40.50539097112164
1679931219,26953063,634.232,700,960.791594872151,77.32907799975658,8.201727169202721,170.49012528720087
26953063,358082698,139.593,700,960.791594872151,21.051826660780783,6.630921024067689,43.998409620043546
26953133,27541017,72.821,700,960.791594872151,5.509009953095676,13.218527579366546,14.961093828006526
