from,to,length,capacity,volume,EstimatedTT,Speed,CO2
31035110,3669613447,1171.156,900,1563.481314839452,95.29683454746346,12.28955825827242,403.06425908054615
31035110,31035112,37.766,900,2038.8230102447235,4.678005558373481,8.073098573472205,21.789057851092192
31035142,31035110,24.249,900,3602.3043250841747,10.186079410848924,2.3806019000964227,58.27723522544999
3669613447,3669613446,13.061000000000002,900,1563.481314839452,0.885643441198566,14.74746990992694,4.222136949596506
679655458,3669613447,11.209,700,0.0,1.34508,8.333333333333332,0.0
31035112,7566583637,1.814,900,4039.707259839606,1.110174075601188,1.6339779858556616,5.839139918318421
679655458,31035112,1177.131,900,2000.8842495948877,114.33875783974867,10.295117965596638,567.6224990741807
7566583637,31035113,11.39,900,3055.790452196395,2.9717672065853638,3.8327362839054278,17.271507087014125
7566583637,4343299467,144.07,700,983.9168076432142,11.729000094112061,12.283229503282458,31.210138026185163
31035113,2832742963,416.694,900,144.70577305238922,37.50427300676402,11.110573985125583,13.930174260550283
31035113,31035116,74.956,900,2911.0846791440053,17.297181984322723,4.333422638897843,99.14048949059898
2832742963,310953976,50.187,900,1627.4731171896983,3.471295367203734,14.457715259311861,16.975843472322534
2832742959,2832742963,693.696,900,1482.7673441373106,76.56500403505116,9.060222862163355,268.59822127888975
31035116,7566583638,1.286,900,3450.656272245418,0.473112788144778,2.718167913073762,2.7481576159142915
31035172,31035116,390.825,900,539.5715931014132,35.50296338759961,11.008236009293423,48.95587068555227
7566583638,31035117,19.665,900,1619.115691352179,2.03474831014029,9.664585984417972,7.973377646734283
7566583638,262577623,434.76300000000003,700,1831.5405808932396,171.78726204689048,2.5308221041518695,513.7099330018447
31035117,31035121,76.727,900,3103.043211135458,20.84897560635086,3.6801328491471783,121.52858306437675
262577622,31035117,424.684,700,1483.927519783278,94.06000037087524,4.515032939883969,277.7724256827754
31035121,31035123,23.516,900,1830.36504027794,4.7355458281285205,4.965847835389543,17.659091268144884
31035121,31035142,58.447,900,1272.6781708575186,5.560775559043452,10.510584248441395,17.713650533899237
31035123,2832749579,182.992,900,548.0147523503653,16.633052074042368,11.001709078129943,23.288131883427667
31035123,31035125,232.623,900,1282.3502879275738,27.177988493893846,8.559242714090635,80.98170416788894
31035141,31035142,36.848,900,2329.626154226657,14.085871086956988,2.6159546521847643,54.3531493758789
2832749579,31035152,399.442,900,2085.8535556819047,88.782826670947,4.4990908149437425,368.205430719587
31035172,2832749579,672.706,900,1537.8388033315382,78.3022235041064,8.591148116818438,280.11659615705224
31035125,31035127,64.985,700,2331.977309224834,7.28445573000138,8.921050852482521,39.98672622796072
3725509621,31035125,73.341,700,1049.6270212972577,5.401242605445798,13.578542079567763,16.307569159365467
31035127,31035131,50.315,700,3025.2564266102986,9.336583143572515,5.389016434201395,58.64862343365979
31036608,31035127,635.088,700,693.2791173854657,61.136086961013774,10.388103517403607,105.55685716347378
31035131,31035151,242.937,900,2242.6662298667147,82.8448305114447,2.9324340275696406,322.42559364771125
31035131,31035133,61.613,700,782.5901967435847,4.467468611762418,13.791479102456112,10.162498166986259
31035151,6975390283,84.169,900,2241.724534792532,22.933850811454363,3.6700770704395445,96.49271082254799
31035151,31035152,30.539,900,0.9416950741822238,2.748510000000234,11.111111111110166,0.006643662505048361
31035133,31035134,14.734,700,2564.845709963086,1.9253226727826998,7.652743204184425,11.12073635556449
2832742977,31035133,547.307,900,1782.255513219503,83.24298067574752,6.574812621521799,322.10163733476514
31035134,5825980919,49.627,700,716.7638051557515,4.285868562005952,11.579216506997279,8.047691916930884
31035134,31035137,70.596,700,1848.0819048073356,6.19939363031163,11.387565334587617,29.76236507421479
5825980919,4331333358,731.074,700,716.7638051557515,56.8230676848432,12.865796054073375,113.19455031094738
1273688754,5825980919,61.43200000000001,700,0.0,7.37184,8.333333333333334,0.0
31035137,3725509621,10.343,700,2899.0173324851908,1.735154767864494,5.960851557195347,10.683535061295016
1273688754,31035137,47.955,700,1050.9354276778552,4.721710370962602,10.156277330120007,12.243277248625837
3725509621,31035141,231.991,900,1849.390311187932,47.80843612987188,4.852511790383504,179.1386815217831
2832742959,31035141,182.405,900,480.23584303872485,16.512720620204068,11.046332351606504,20.298763011387727
31035148,525863808,402.166,900,2055.867604936529,107.48429266334712,3.7416257765181475,417.22383881916846
31035148,915282634,29.509,700,860.8456520706072,2.6832732730689,10.997389008481463,5.90039151389378
107772858,31035148,193.782,900,2065.8049467929,52.45983900649664,3.693911450547952,203.8105690114394
791160066,31035148,383.198,700,850.9083102142338,34.82826811648632,11.002499427142324,75.71809952017266
525863808,31035172,78.801,900,2077.41039643295,21.65538605300024,3.6388637823005947,84.20930912208517
310953976,525863808,29.372,900,21.54279149642227,2.643480062774052,11.111110847258368,0.14617663317480575
915282634,2053915154,970.934,700,857.4269753059817,72.15588760164151,13.456060652463123,176.90161263133615
915282634,1354143299,193.695,900,3142.094368306772,36.2921890435507,5.337098838749176,236.25552283450597
310953976,915282634,409.648,900,3138.6756915421465,76.52810412602553,5.352909296242291,497.97799938052884
6975390283,31035231,234.275,900,1735.7118486696177,33.7475182267401,6.941991954074136,128.7825849277244
6975390283,3117349527,215.066,2000,506.0126861229134,9.678066776306443,22.222000010014213,21.7540945555008
31035152,2832742981,347.938,900,2086.795250756085,77.42966186456454,4.4936009227134805,321.1650704456153
2832742981,31035266,15.539,900,2560.8272943620927,2.166679248178344,7.171804508242076,12.29390822604876
31035231,2832742981,58.395,900,474.03204360600654,5.284808038678038,11.04959717980734,6.413481041879592
