from,to,length,capacity,volume,EstimatedTT,Speed,CO2
26411640,3698862626,130.623,700,0.0,9.404855999999999,13.88888888888889,0.0
26411640,26411641,115.535,1200,2991.094693244507,7.710799762556039,14.983530056252103,71.1734754304934
564633761,26411640,52.24600000000001,1200,2991.094693244507,3.4868952868374903,14.983529960656076,32.18530664270333
26411641,597665412,81.002,1200,2991.094693244507,4.892830135163586,16.555244666651767,48.96760345293324
3698862146,26411641,140.791,1200,0.0,10.136951999999999,13.88888888888889,0.0
26412251,26412219,584.082,700,0.0,42.053904,13.888888888888888,0.0
26412251,1685958857,5.312,700,0.0,0.38246399999999997,13.888888888888891,0.0
4848058343,26412251,2343.58,700,0.0,168.73775999999998,13.88888888888889,0.0
30747332,1187353031,10.981,900,3512.6975953999367,14.06254966493406,0.7808683532959804,38.53678533284951
30747332,1625209832,937.2920000000001,900,1494.9787580882708,104.65084503626609,8.956372972193272,368.74807892925736
495137366,30747332,160.153,900,3596.166952238076,16.974327146717936,9.43501315932669,146.44966533798285
4642297159,30747332,17.348,900,1411.5094012501324,1.795710902546412,9.66079783521926,6.133533273402935
33004487,1151084822,298.867,900,1412.7026192557744,23.38499563992561,12.780288891298282,91.4433594861835
33004487,1636768897,119.33599999999998,700,827.6081290998878,8.832081943996506,13.511650000158468,20.95695550934069
1183787463,33004487,79.127,900,652.0872411346442,7.514316800726106,10.53016556240402,12.274354291508779
5099453112,33004487,200.333,900,1588.223507221019,16.422745302305586,12.19850861182602,70.26523807249522
33004488,1151084822,10.668,900,4234.734931570502,3.6718810916478604,2.905322839638152,26.88705525389108
33004488,1183787463,224.56200000000004,900,2991.267528997756,44.36014622141389,5.062246613867058,271.5705706887484
1151084876,33004488,8.795,900,4054.408164488832,4.359811104284658,2.0172892333240324,25.878075745689518
1636641362,33004488,533.647,900,2745.4192584823963,85.96185010395158,6.20795154309352,505.7911543823493
33004530,33004534,364.505,900,1195.836565984565,32.1616048409994,11.33354513252807,99.67434246041948
33004530,988059453,122.508,900,679.2323789633134,9.027574265065734,13.570422840393876,17.6310193630633
1158360166,33004530,340.248,900,1875.0689449478773,57.886076950473644,5.87789012358033,229.80666954676568
33004534,4844962258,130.453,900,1875.0689449478773,10.192693000388712,12.798678425321453,52.94785416844107
3610003009,33004534,147.813,900,679.2323789633134,14.638622401431576,10.097466547504135,24.47500971065453
33004677,1649048065,26.901,900,2445.430682130219,2.4141798784133943,11.142914511274698,15.17461963109638
990625876,33004677,84.023,900,16.56503919298141,6.049656803557152,13.888887044070849,0.2926966147754775
5120437769,33004677,162.515,900,2428.8656429372386,14.50726416636411,11.20231893045692,90.80144711624767
33476495,1187353069,12.848,900,2388.2246364748903,4.242968724365136,3.0280685139677552,17.802082596843363
33476495,33476497,169.953,900,2675.590055003117,25.89410390563878,6.563386036424705,150.35703401720775
4844962258,33476495,9.271,900,2675.590055003117,0.9032413312394459,10.264145006825748,5.98859595259115
5137163580,33476495,89.313,900,2388.2246364748903,7.020987285980022,12.720860523183996,46.28263221290929
33476497,420041549,46.577,900,936.8857037898592,7.9114637720918815,5.887279692072015,15.69889338020586
33476497,420041599,35.955,900,1738.7043512132582,3.104019436580406,11.58336818908918,14.141203648845604
33476500,1185400508,15.410999999999998,900,1944.5793713193648,1.455131113746258,10.590798213587872,7.1058532424542875
33476500,2754770542,111.208,900,1727.2121318757615,15.86380829344111,7.010170442237311,60.38023691321112
1185808523,33476500,17.496,900,1753.7572058947503,2.5735607660131503,6.7983628873485085,9.8745631154909
