fishnetid,CO2
0,574.3395672354644
1,2632.185356270703
2,509.32964258756283
3,1946.2724946992853
4,3362.081795061034
5,6013.29610316969
6,3004.9693988021627
7,4038.2672455439365
8,797.3227215688751
9,2088.3177008781754
10,7719.768813704301
11,6882.753233576395
12,4022.8119967512803
13,9660.34126426102
14,9983.487870355997
15,971.6671535491423
16,2873.588753258675
17,6501.423264469166
18,4553.461786149631
19,4316.956222958547
20,5112.9582007813215
21,7446.591392954255
22,4760.77696888508
23,8583.359178673976
24,5438.990291424916
25,2541.859007209364
26,12640.68957745739
27,19251.036131888668
28,14772.283343307368
30,6505.494472712021
31,9252.540161977833
32,3734.5406106421256
33,19482.37221354426
35,1693.2527668310288
36,1788.3096475315872
37,7145.531330529101
38,3172.3965006263365
40,8981.8115278011
42,3851.5283927994647
43,2521.119679635508
44,6681.728726560906
45,8717.963206719085
46,3826.123840615752
47,3410.791759502109
48,8972.530700915222
49,9938.76950020063
50,18281.628213764754
51,15466.83145518453
52,5002.8365589781715
53,3903.996731405939
54,63.85262854190911
55,4972.847808909838
56,7048.836325834883
58,6717.961219490376
59,4317.8693181435265
60,1510.7410868371958
61,3183.9651693083033
62,2792.240712114443
63,6676.867470956351
64,9411.826632475502
65,2482.269631104722
66,6385.6626035114405
67,6033.770594322685
68,4353.857862914314
69,4957.9035026589845
70,20071.36592151961
71,19819.355513152517
72,15486.341490831843
73,1686.3673265984903
74,1645.9918028191955
75,5067.706217515666
76,10515.300137655915
77,9196.016543091271
78,2405.8512408742654
79,3416.854665757842
80,6105.032454023139
81,2722.4752057569995
82,8191.397890609551
84,7957.385959954228
85,3189.3831114631457
86,2892.9785295861593
87,13416.593365096525
88,3908.8585939300956
89,2449.421522378262
90,11563.560180358181
91,887.4939471707697
93,8974.860477546497
94,6295.303722599721
95,7143.988510360707
96,9084.556088208557
97,3321.8362646100263
98,4325.087934148303
99,2168.9344753934006
100,3647.5995207201217
101,2650.084585128051
102,5839.155715027231
103,1626.7669418815778
104,3990.921924576241
105,3226.0600057216798
106,203.89571055702226
107,1418.4405240369472
108,374.67435282562343
110,209.3966826953241
112,1774.205609227978
113,685.672580535015
