fishnetid,CO2
0,5339.952123144047
1,12612.606606035377
2,9127.94952986678
3,14824.878211702173
4,21519.334527752864
5,24459.013786872674
6,16055.107492830652
7,12552.277542483127
8,5267.580622908894
9,14445.029764253568
10,16779.351129632953
11,13790.639884385862
12,7050.8565328154455
13,12288.937150794925
14,17968.498515680858
15,31223.732337602883
16,9892.418946646425
17,15376.597579446685
18,30470.609733347337
19,17915.750554139984
20,19812.761311786195
21,15015.961306792084
22,14024.920619470335
23,17350.92398279335
24,28745.94940198983
25,4262.851549368565
26,10332.289524618323
27,4973.358097833267
28,7896.764034137683
29,7140.685358258834
30,9697.641209421416
31,3149.0816981344014
32,5902.386045960347
33,12844.106829104236
34,45349.7140342856
35,29173.278973192904
36,29120.398749088345
37,19174.320423833087
38,15203.866627352389
39,25399.289011625504
40,10726.420054910763
41,24264.691775557672
42,31426.099119937397
43,51583.010943373265
44,36021.426236923784
45,12615.44657018447
46,22187.99379671059
47,15336.790380339276
48,10237.660357985078
49,11599.248551838491
50,8210.836821957682
51,11713.074615225347
52,10465.568788974784
53,32835.984547905726
54,13062.780167571666
55,10272.197994672004
56,17926.84154877913
57,5549.9916464079215
58,24717.887152114563
59,20186.462393111688
60,21359.574217433837
61,3926.315591575197
62,9655.891150146026
63,10446.644112715705
64,6563.358434560543
65,8589.354139642706
66,7633.103239381142
67,1567.7883300360695
68,3782.401518016086
69,9097.022814691136
70,11116.689534074942
71,2762.35115787551
72,5458.755631963899
73,4488.807713168225
74,3233.778285029971
75,1185.8745105794399
76,7850.362756055226
77,4368.096888283942
78,30213.156871918734
79,9996.094154015256
80,11924.260067035026
81,10648.614404047481
82,13759.207575159084
83,24980.92288248477
84,18513.713519557885
85,8687.19460744729
86,5392.340420739668
87,11901.082576175584
88,7958.048677395588
89,6155.221242718109
90,3330.202225280185
91,14876.710965633
92,20692.637647961707
93,23364.999901224237
94,20076.145331311684
95,13547.776040109007
97,14917.549520373255
98,22290.179220230624
99,399.6396475505057
100,8161.896627541007
101,21176.848587809076
102,3838.7527121744483
