from,to,length,capacity,volume,EstimatedTT,Speed,CO2
890436096,5644599922,37.56,2000,0.0,3.3804,11.111111111111112,0.0
290996346,6373307772,107.071,900,1720.7205388663283,12.633818409387594,8.474951636192634,50.363465408646846
3234849335,317498305,981.08,900,939.5323260904714,63.92186829802275,15.348112095627643,188.81609985680043
298840127,290564434,3970.588,700,0.0,714.70584,5.555555555555556,0.0
305098789,305098392,70.74,700,0.0,4.2444,16.666666666666668,0.0
5644599922,306356309,320.876,2000,0.0,28.87884,11.11111111111111,0.0
290564444,5644599922,8.11,2000,0.0,0.7299,11.11111111111111,0.0
290996346,290576689,1480.454,900,1784.6524514391715,188.17475688492868,7.867442076225542,761.8213866630712
317498305,290576689,2056.706,900,2027.2268998100635,137.7641694818205,14.929179392116216,859.4604798067608
317680696,320815756,1158.705,700,2309.2018732043666,106.74654243736923,10.85473096873222,625.8701816202947
298892607,290576689,2306.637,700,500.4744435746964,141.01418687811795,16.357481832616482,233.73142779284922
320815756,290564204,1037.01,700,438.783811913124,62.91548141518419,16.482588651856446,92.02225351504022
290559978,290564204,558.299,700,614.680038530243,33.587986880431195,16.621984580006856,69.31905858042364
320815756,290559978,1118.697,700,1870.4180612912423,82.59118924752141,13.54499202871779,443.62927806718386
290576689,290559978,737.308,700,608.3288095487071,44.3525595676682,16.623798202110464,90.59775494768012
290534208,298874519,48.582,900,0.0,2.91492,16.666666666666668,0.0
5905596150,313235625,36.087,700,0.0,3.24783,11.111111111111112,0.0
298875152,290534208,62.787,900,0.0,3.7672199999999996,16.666666666666668,0.0
298875497,290534208,1064.869,900,0.0,63.892140000000005,16.666666666666664,0.0
313235583,313440672,84.27,2000,4217.001803854752,3.867070342457118,21.79169048847848,70.98601310504294
290427815,5905596150,189.783,700,1297.40990396261,19.96063740351256,9.507862708161968,62.30247673458049
5905596150,313235626,3.369,700,1297.40990396261,0.354338309608518,9.507862708162031,1.1059844354805284
313235678,313235583,766.242,2000,3412.797131544245,35.19433337652081,21.771743530485022,522.347348415338
2960510619,290427802,24.028,700,442.0143245117446,2.187390219778854,10.984779845284871,2.4684276859612755
290427802,290427815,113.54199999999999,700,2101.614576273113,22.082487092733803,5.141721560763903,95.3273690005503
290427815,313235583,291.618,2000,804.2046723105022,26.6742694992774,10.932558059664947,54.64555442003812
3372619793,290427802,21.131,700,207.48790065333907,1.901999769693792,11.109885677537141,1.0129321602941082
6199917623,290427808,445.64900000000006,900,1613.6089392703957,46.72529460312016,9.537639169218657,181.5915219831403
290427795,313494615,504.412,900,1452.112351108029,45.101299052274996,11.183979410778335,168.63572183787096
313494615,2626530837,30.013,900,0.0,2.70117,11.111111111111112,0.0
313494615,290427802,80.543,900,1452.112351108029,7.20164058263361,11.183979410778338,26.927247852921106
290559182,290559010,430.873,700,0.0,25.85238,16.666666666666668,0.0
290555804,310363202,204.41800000000003,700,665.5813695553409,35.80207265299802,5.709669436774418,50.12668833059796
313491210,290559182,2678.445,700,475.78955694462593,244.78190097029997,10.942169291858646,296.80192890592343
290559183,290559182,486.70799999999997,700,0.0,29.202479999999998,16.666666666666668,0.0
1529630825,298874598,26.567,900,0.0,2.3910299999999998,11.111111111111112,0.0
317680696,317680825,276.974,700,1142.4543676903993,17.151529139668217,16.148647607134453,64.19825973083275
290546108,1119570237,70.205,700,0.0,4.2123,16.666666666666668,0.0
1529630825,536762933,32.063,900,61.758130810788174,2.885674628278386,11.111093290212354,0.45744734831555134
317680825,290534212,3422.923,700,605.4737472860479,213.69117479922792,16.018083120259803,421.0501318420776
305873494,298875497,997.841,900,0.0,59.87046,16.666666666666668,0.0
317681275,317680825,2646.164,700,421.7803282728803,160.28370589073117,16.509251425743468,225.66279489963557
290534212,1529630825,348.978,900,1186.880248544187,38.27972340481318,9.116523552417323,107.71450862217615
298875152,298874519,43.238,900,1391.1631604497484,3.66561516164325,11.795564480537815,13.488586598735463
298874519,290534212,80.348,900,1391.1631604497484,6.811713007255464,11.795564480537818,25.06547379701186
298875497,305873494,997.442,900,0.0,59.846520000000005,16.666666666666664,0.0
298840127,298875497,43.155,700,0.0,3.88395,11.11111111111111,0.0
670872731,3157086662,932.351,900,949.7789247222933,60.960058229370766,15.29445717541638,181.53155872096286
670872731,6064668323,16.638,900,0.0,1.49742,11.111111111111112,0.0
290398105,290386870,877.176,900,2457.615194197361,65.86086265001254,13.31862299862896,459.7311991031804
319741894,290386870,31.973,900,0.0,1.91838,16.666666666666668,0.0
289105326,6064668323,930.169,900,1227.4595260229048,69.77826368148715,13.330354625129242,243.40918233832028
333263574,1407894409,3300.82,700,75.2027007606631,198.05110845075552,16.666506064118966,50.12238212455828
6064668323,574270086,2613.138,900,1227.4595260229048,294.04371528203035,8.886903083419496,848.5468452880456
289105326,3157086662,82.85,900,1024.8424185102283,5.575600317565979,14.859386484174683,17.522468895241936
289105288,3157080065,77.672,900,1160.8740570471912,5.593472016142423,13.88618728686642,18.962825695323286
316437063,3157086461,705.075,900,656.0524319720038,43.168546275643806,16.333072591740518,93.67632169422443
3157080065,289105326,11.555,900,2252.3019445331333,2.66038843210371,4.343350715467835,11.804736748093939
289105288,1407894409,497.715,900,1187.15821698603,31.15470687718216,15.97559566078051,120.09680519773605
5153028887,317040184,972.0080000000002,700,309.17961373026145,58.3305150287935,16.663799377053177,60.68296134037506
316437063,317040184,11.415,700,143.08529220910424,0.684986493059592,16.664562171165212,0.32980274467686527
3157086461,289105288,12.429,900,2348.0322740332203,3.2449337362941,3.8302785234051124,14.48833310493736
317040184,317040635,807.3540000000002,900,503.1090004538008,48.783424108090735,16.549760800125966,82.09743522923073
313632854,313618025,1200.438,700,0.0,72.02628,16.666666666666668,0.0
290427795,313618025,225.955,900,1613.6089392703957,23.690873180570396,9.537639169218657,92.07136636613225
290427808,290427795,60.41700000000001,900,1613.6089392703957,6.334586466112812,9.537639169218664,24.618511392722496
313490860,313239893,214.62199999999999,700,1090.473002268756,18.363363845739077,11.687510077289003,52.712226874410554
313239893,290427744,1881.133,700,421.4721213452326,113.94103079286671,16.509706704512002,160.3036835062496
313618025,290427744,599.643,900,778.5534301367496,37.43603094296251,16.01780383485673,94.84705706695121
313239893,312767806,1777.2440000000001,700,669.000880923523,113.07009385322023,15.718073094615939,242.38565695981976
312767017,312767806,2312.821,900,264.66766281791195,138.84433460203059,16.65765482350603,123.6092406941541
1306391060,1886242473,56.537,700,0.0,5.08833,11.11111111111111,0.0
304468146,703671717,23.045,700,0.0,1.3827,16.666666666666668,0.0
312767806,290427744,1907.655,900,1030.6402297627958,128.69817524971225,14.822704333597498,405.9917204448847
314458442,1306391060,52.046,700,0.0,3.12276,16.666666666666668,0.0
290398164,290398173,103.89,700,0.0,6.2334,16.666666666666668,0.0
319741894,2960408821,471.01099999999997,900,2457.615194197361,35.36484214985939,13.318622998628957,246.85861425847077
1306391060,290398173,854.2179999999998,700,0.0,51.253080000000004,16.666666666666664,0.0
703671717,290398164,55.066,700,0.0,9.91188,5.555555555555555,0.0
292917501,292917502,25.942,900,1836.4556800948944,3.508488251844258,7.394067797252401,14.383756965381052
2781711153,2781711127,10.646,700,753.6995602305176,0.700861898132376,15.189868401134325,1.6473702968169301
292918350,292917501,57.931,900,90.41580631300808,5.2138284173328415,11.111029240512458,1.210039401470877
292918068,292917501,1273.777,900,1058.2158930479095,86.99328671358843,14.642244799805164,279.2080269991863
298937040,292718845,173.731,700,643.1242318359822,10.961117118107616,15.84975309797564,22.742022208264498
292718845,292718882,16.587,700,6.695118312636761,0.995220000602454,16.66666665657754,0.02242342517194577
2781711127,2781711130,7.629,700,742.6351467598189,0.49968642735412194,15.267574987770114,1.161875647095205
2781711127,292718882,1240.324,700,17.759531783335632,74.41944223041953,16.66666616715125,4.447771951434712
