from,to,length,capacity,volume,EstimatedTT,Speed,CO2
6390227819,6380947436,13.425999999999998,900,0.0,0.966672,13.88888888888889,0.0
6380947436,6469450241,389.124,900,1094.2579781642414,27.03818799028056,14.391644889068703,88.60957835369801
6380477605,6380477618,32.282,900,0.0,2.324304,13.888888888888886,0.0
6381085525,6406155811,105.588,900,2259.257662008692,9.929958633628068,10.633276924480171,56.437101259954886
6469500454,6381085525,14.248,900,0.0,1.025856,13.888888888888888,0.0
6381063061,3824256761,61.666000000000004,700,0.0,4.439952,13.88888888888889,0.0
6469450242,6469450241,16.013,900,0.0,1.152936,13.888888888888891,0.0
6383712643,6377686842,84.32,900,1094.2579781642414,5.85895501521483,14.39164488906871,19.2009735888401
6377686858,6377686842,18.884,900,0.0,1.359648,13.88888888888889,0.0
6376220387,7880455511,779.133,900,1576.012548648741,78.54583109242466,9.919469807165148,302.57587841096773
6376220387,6376220370,12.423,900,0.0,0.894456,13.88888888888889,0.0
6851580014,6380477605,327.524,900,2590.2844366080208,117.19092122743872,2.7947898742459456,516.8508980404156
8198917999,6380477587,402.045,900,2580.504750876064,47.41840019888535,8.478670691413388,283.51697363809865
6380477587,6851580014,147.002,900,1584.235170087227,10.030117007966844,14.656060331423598,48.22773578774209
6383118029,6378669810,19.081,700,0.0,1.373832,13.88888888888889,0.0
6381274067,6381274063,37.122,900,0.0,2.672784,13.88888888888889,0.0
6381274063,6406155803,862.5609999999999,900,2963.094777680855,138.64058781136418,6.221561907784245,880.8567652586078
6381274067,6381274062,42.386,900,2259.257662008692,3.986165346866682,10.633276924480176,22.655443554233894
6381274062,6451592119,68.464,900,2580.504750876064,8.074850703817944,8.478670691413392,48.279934045091395
6406155803,6406155801,37.415,900,0.0,2.69388,13.888888888888888,0.0
6406155803,6451513331,27.226999999999997,900,2963.094777680855,4.376232271503132,6.221561907784244,27.804511388407448
6451592119,8198917999,173.019,900,2580.504750876064,20.406382827820128,8.47867069141339,122.01077805193496
6451592120,6451592119,16.29,900,0.0,1.17288,13.88888888888889,0.0
7884144711,3946399130,51.954,900,0.0,3.740688,13.88888888888889,0.0
7884144711,7884144688,85.493,900,1094.2579781642414,5.940460639418424,14.39164488906871,19.46808390691066
6406155811,6451513331,35.771,900,0.0,2.575512,13.888888888888891,0.0
6406155811,6406155801,27.699,900,2259.257662008692,2.604935449036476,10.63327692448019,14.805198202442423
6393256003,6381274058,149.718,900,3284.3418665482263,31.74714903464831,4.715951024030544,209.78764875662813
6381274058,6381274063,33.424,900,2963.094777680855,5.372284403082259,6.221561907784245,34.13295583964926
6381274058,6381274062,34.662,900,321.24708886737017,2.4985944826510678,13.872599271580397,2.3424996503585485
7884144716,7884144711,33.796,900,0.0,2.433312,13.88888888888889,0.0
7187856399,7150365166,1308.724,700,1487.3096060491655,194.28888982677645,6.735969314389662,630.8646737353683
6383712643,6383712641,27.276,900,192.85368111727848,1.964171516772336,13.886770970399688,1.1062578412175053
6383712641,6403853114,41.245,900,0.0,2.96964,13.888888888888888,0.0
7883967634,6383712642,122.53,900,1287.1116592815197,9.576414781162638,12.794976282880269,34.14170591104798
6383835536,6383835535,14.902,900,0.0,1.072944,13.88888888888889,0.0
6383835535,6787764267,815.1729999999999,900,1878.92887649956,116.12111395121856,7.020023941059047,480.95910142905166
6451579685,6383827552,136.774,700,1662.7207443855912,27.104019192785707,5.046262660425109,92.16467109065158
7150365167,7187856399,1306.547,700,1620.1092902237383,241.1078429923724,5.418931975768758,812.0998545289294
6383480760,6383480753,36.109,700,1365.2446507387097,4.434225174380286,8.143249063811128,13.863627286947848
6383480760,6383480761,36.981,700,0.0,2.662632,13.88888888888889,0.0
6383480761,6383480769,309.12,700,302.4224664717719,18.593942148857124,16.624769375169862,18.88285828258153
6404188888,6381274067,169.606,900,2259.257662008692,15.950492139401467,10.633276924480173,90.65491340205223
6383712642,6383712643,78.324,900,1287.1116592815197,6.121465039743594,12.794976282880267,21.824165296473716
6383697798,6383697677,15.56,700,0.0,1.12032,13.88888888888889,0.0
8157748012,6772092855,785.899,700,541.1643467706077,48.372393072155525,16.24684970263307,86.20122849927547
6772092855,6772092851,86.068,700,541.1643467706077,5.297519308377131,16.24684970263308,9.44035726534281
7087913053,6603396203,189.128,2000,1738.8519830425728,11.600852583800993,16.302939687733936,66.61918179995153
6354902306,7087913054,491.51,2000,7867.842841963041,31.15130422858369,15.778151578931396,787.7862598676281
7087913054,6822152455,1796.849,2000,10339.507166558948,197.16213371673578,9.113560327874852,4832.528936380012
6383697677,8255004322,94.91,700,1147.1903084369562,8.666123821126211,10.951839825854913,25.346084790976832
6469450239,6383697676,12.913,700,0.0,0.929736,13.88888888888889,0.0
6383697676,6383697677,273.216,700,1147.1903084369562,24.947041259222623,10.951839825854913,72.96339587242151
6349420105,6383697676,226.003,700,1147.1903084369562,20.63607609257178,10.95183982585491,60.354980518545325
6469450240,6349420105,11.745,700,0.0,0.8456400000000001,13.888888888888888,0.0
6344653367,6344743919,125.72999999999999,900,0.0,7.543800000000001,16.666666666666664,0.0
6344653368,6344653367,16.608,900,0.0,1.195776,13.88888888888889,0.0
6451513331,6344179615,164.876,900,1424.0986811050298,10.778695694595612,15.296470433121893,48.13215414994965
6354796047,6337987159,84.903,1200,0.0,3.39612,25.000000000000004,0.0
8255004322,6381063061,99.867,700,1147.1903084369562,9.118741835890964,10.951839825854913,26.66987092846363
6347565822,8255004322,13.371,700,0.0,0.9627119999999999,13.888888888888891,0.0
6381063062,6381063061,36.129,700,1354.4051737757302,5.238572417171724,6.896726268700862,15.575117225086778
6344743919,6344743944,262.51,900,0.0,15.750600000000002,16.666666666666664,0.0
7884144716,6364835558,55.112,900,1354.8068237700247,4.535016348609767,12.152547149448505,16.516733195673467
6364835561,6364835558,12.252,900,0.0,0.8821439999999999,13.888888888888891,0.0
6413652040,6449909448,60.958,700,0.0,3.65748,16.666666666666664,0.0
6364830656,6449909448,49.965,700,1489.5000245963258,7.443734747217714,6.71235632337325,24.18613792818542
6367317162,6367281202,8.816,900,0.0,0.634752,13.888888888888891,0.0
7866260328,6365019000,505.828,700,0.0,30.349680000000003,16.666666666666664,0.0
6485888617,6486039145,6.096,900,0.0,0.438912,13.888888888888888,0.0
6469484712,6364835988,14.218000000000002,900,0.0,1.023696,13.88888888888889,0.0
7087913053,6354902305,492.139,2000,10821.44162008122,60.8599722818699,8.086415118966585,1505.2692461693484
6354902305,6768860395,1983.9830000000002,2000,10849.56785814411,247.08009112308866,8.029716157954761,6115.057654137317
6354635082,6354902305,290.008,2000,28.12623806289029,17.400480026574613,16.666666641212757,1.6470147086921192
6349461213,6349461212,15.352,700,0.0,1.1053439999999999,13.888888888888891,0.0
6398674993,7884100974,42.548,900,1354.8068237700247,3.501159014382504,12.152547149448495,12.751378356973342
6398674993,6364517042,17.125,900,0.0,1.2329999999999999,13.888888888888891,0.0
8764138366,6354902306,1579.894,2000,8664.699076905501,117.52592573539854,13.442940271383367,2909.862695715655
6768860395,6986346799,214.90799999999996,2000,0.0,12.89448,16.666666666666664,0.0
6451381490,6451381489,298.914,900,1662.7207443855912,20.920263644479295,14.288252054551961,103.63762231449077
