fishnetid,CO2
0,4470.059288451572
1,9896.63243625832
4,6200.832740496819
5,11384.19447685646
6,6056.170935752955
7,8741.744288357278
8,20169.175116285238
9,4114.980732383265
10,11946.459200330502
11,3667.874530878304
12,4253.692329000298
13,33499.03776274511
14,7527.190730688269
15,24373.40779064368
16,21168.43777148329
17,30556.423784760842
18,30636.482258992837
19,33876.40268941741
20,1111.2923250299896
21,6523.180793677964
22,28773.14307831881
23,14505.339751587744
24,9292.832812647579
25,9928.356400531178
26,16089.926737737012
27,13905.880859667626
28,10775.183938030028
29,12819.908713070789
31,6999.985508315213
32,8647.28909553506
33,15724.198396272848
34,14759.749180066623
35,22709.461337849767
36,13679.673738391226
37,16623.601410210907
38,11200.003286099456
39,4858.82391126418
40,16201.280238877407
41,6919.340841790906
42,21007.859154589696
43,23808.042791688487
44,27536.119362077698
45,24889.324986992615
47,5340.119709393524
48,3005.0095294164944
49,10953.448785284469
50,9246.047445965065
51,21160.826039763633
52,21400.454288234483
53,1351.463727887653
