fishnetid,CO2
0,4871.940089175243
2,1555.7379832405709
3,32197.539233185384
4,42614.883225628764
5,22886.668798059603
6,35442.74880352877
7,17829.613592704507
8,39358.17023497847
9,30209.763051846923
10,8385.41450216325
11,2884.4114056993394
12,25788.759280311067
13,43603.09718411971
14,20942.44958674963
15,55736.954584959116
16,14272.496488731014
17,16600.134972894775
18,17825.512636319992
20,2681.8043688314633
21,17222.55705970503
22,15366.595047838682
23,2114.497442769323
24,37507.12398548829
25,9147.107952004651
26,17598.81591544212
27,24654.374328884118
28,26172.473459791134
29,26470.928202894043
30,10385.19583069717
31,6038.9070358084155
32,17339.866437343237
33,9836.479017939257
34,12330.868740981645
35,15338.238690642831
36,36881.12574495701
37,16929.810911448585
38,3509.52801761329
39,35437.57649042691
40,21995.497475793953
41,13800.15935976771
42,25133.212441620417
43,11064.391769949942
44,7640.325693378197
45,9632.027409264627
46,13152.465073936952
47,13497.058718953453
48,11292.20841040562
49,17350.40613175868
50,11199.243691066566
51,38390.529661086046
52,24156.22010895561
53,18328.010255895446
54,19527.21993617203
55,24490.012574567987
56,13879.285180855584
57,35621.48461011125
58,11668.978566141468
59,24137.921472108654
60,27836.771003670205
61,40395.094367527345
62,20534.397110635822
63,23352.092706996198
64,23486.16679770309
65,26945.44240716154
66,20286.227548372965
67,13436.51968452128
68,20664.472416145756
69,8607.970163435555
70,50294.238405835924
71,40634.9273950356
72,25109.81270906772
73,13855.516026699966
74,12960.464259166976
75,1814.004992007421
76,12982.657923975727
77,665.9546900022651
78,28804.537563141883
79,23316.76223036614
80,27439.488934410307
81,23209.893169322073
82,7397.1008023067725
83,21105.584733351097
84,25498.120241396526
85,16829.48815666753
86,22547.751991112596
87,32878.45279934595
88,14615.178514141448
89,9435.262938227197
90,12411.73070628804
91,24473.46693540556
92,11906.522269976298
93,9900.668064731348
94,8879.234312976942
95,12036.576492556645
96,14860.37294019855
97,14497.261492950478
98,5980.107369212266
99,14218.536371063512
100,14584.877662235574
101,12225.301231164733
102,8610.23078242415
103,7101.709362829965
104,19030.706379430245
105,12534.868532015324
106,7196.967839412199
107,16049.863104935093
108,15641.106295225898
109,14462.405748489653
110,13811.668591428532
111,12010.764753829408
112,6455.197401929758
113,5641.8931286561965
114,13590.523059058694
115,10029.791334427855
116,10725.968159085905
117,11059.793929491114
118,19307.360931311425
119,7589.041740910642
120,10102.29049298748
121,32464.618055364437
122,21127.033263728004
123,9505.870083798187
124,28264.166811847856
125,36458.683257717435
126,45029.90098802989
127,10734.930477138723
128,22006.9336730916
129,13876.564974796156
130,10368.703955222847
131,6860.676909678466
132,13340.826789007391
133,13314.086465259272
134,3639.0878300398626
135,9602.154807132756
136,16439.866900550227
137,12014.097646225675
138,13579.023682536681
139,17642.090733732155
140,11438.713607085718
141,13894.962353862311
142,11565.341961012035
143,11675.02749175913
144,15582.160358197332
145,14451.587932127557
146,8883.550687629839
147,8649.061883194674
148,6072.463930696607
149,10395.652648888827
150,4519.222775549368
151,8760.233742003298
152,10761.105725531721
153,3979.2840406294054
154,11329.942584091923
155,10450.085817487628
156,8162.814757080051
157,10694.770063468035
158,19322.98790088256
159,8680.847553512667
161,30277.378918764494
162,12173.324483983386
163,9823.802167750375
164,19640.88731526165
165,13846.622340114109
166,20148.728367381642
167,14682.649580153055
168,22042.684230064882
169,43195.541549033165
170,23625.19954181819
171,18472.73312088946
172,13678.822369497246
173,14899.61644195662
174,27712.406121816613
175,10675.06510625476
176,11973.665247116873
177,17815.865985930974
178,6781.41518037281
179,20813.77476428055
180,17244.466610156942
181,26908.304949691348
182,25479.209460507816
183,8494.833633097687
184,10261.863048572297
185,31231.829519198385
186,34813.746540745226
187,30820.50519036803
188,40108.018539196455
189,23945.78856160251
190,25509.406280505613
191,5796.619370498237
192,28556.376580826738
193,31666.892975036055
194,18724.056341836105
195,20106.710347850687
196,27931.90910807064
197,19455.27089103998
198,15142.742839518132
199,10050.8258157641
200,23315.493017473585
201,26284.046281063365
202,38340.33962133682
203,38373.58731888163
204,28022.278251633794
205,18109.995435862722
206,32871.21475690963
207,29201.29478309079
208,23992.510226089496
209,35116.34540422956
210,21502.849541122316
211,16824.533558338353
212,18475.301178831574
213,3353.6564941997985
214,3385.2744249659404
