fishnetid,CO2
0,2327.04167396702
1,6234.666152751573
4,3077.9591476119795
5,6484.363408702937
6,3923.6612787365734
7,5802.728670228834
8,12749.145945259113
9,2272.3512167508006
10,7133.099772349948
11,1581.3000004562373
12,2045.262562126198
13,20207.40025155421
14,4545.047976998746
15,15470.8280861105
16,13055.404419061528
17,18391.018568964562
18,19278.75339003973
19,20711.673569455495
20,671.2394912246963
21,4773.252592885537
22,19327.35394497619
23,9356.832364679472
24,5440.961922075506
25,5937.006687601742
26,10328.792479567162
27,8119.23860581847
28,6262.159818194533
29,7694.097891412152
31,3964.704680859527
32,5933.401754506049
33,10505.408974638449
34,9816.452577390444
35,14493.39898625041
36,8443.311877324859
37,9901.435488803378
38,6792.1397617927405
39,2897.6617133819573
40,10130.43463548921
41,5012.447301787908
42,15625.511495479146
43,16545.86582031133
44,18241.0927060746
45,15269.724721364435
47,3334.182667580981
48,2018.213883686325
49,6961.399266983305
50,4960.939465044008
51,11980.604171382476
52,12289.764056873153
53,985.6744235847077
